Sesame Street: 1-2-3	1989
Sesame Street: A-B-C	1989
Sesame Street: A-B-C/1-2-3	1991
Sesame Street: Big Bird's Hide &amp; Speak	1990
Sesame Street: Countdown	1992
Shadow of the Ninja	1990
Shadowgate	1989
Shatterhand	1991
Shingen the Ruler	1990
Shinobi	1989
Shockwave	1990
Shooting Range	1989
Short Order/Eggsplode	1989
Side Pocket	1987
Silent Assault	1990
Silent Service	1989
Silkworm	1990
Silver Surfer	1990
The Simpsons: Bart vs. the Space Mutants	1991
The Simpsons: Bart vs. The World	1991
The Simpsons: Bartman Meets Radioactive Man	1992
Skate or Die!	1988
Skate or Die 2	1990
Ski or Die	1991
Skull and Crossbones	1990
Sky Kid	1987
Sky Shark	1989
Slalom	1987
Smash TV	1991
The Smurfs	1994
Snake Rattle n Roll	1990
Snake's Revenge	1990
Snoopy's Silly Sports Spectacular	1990
Snow Brothers	1991
Soccer	1987
Solar Jetman: Hunt for the Golden Warpship	1990
Solitaire	1992
Solomon's Key	1987
Solstice	1990
Space Shuttle Project	1991
Spelunker	1987
Spider-Man: Return of the Sinister Six	1992
Spiritual Warfare	1992
Spot	1990
Spy Hunter	1987
Spy vs. Spy	1988
Sqoon	1987
Stack-Up	1985
Stanley and the Search for Dr. Livingston	1992
Star Force	1987
Star Soldier	1989
Star Trek 25th Anniversary	1992
The Next Generation	1993
Star Voyager	1987
Star Wars	1991
Star Wars: The Empire Strikes Back	1992
Starship Hector	1990
StarTropics	1990
Stealth ATF	1989
Stinger	1987
Street Cop	1989
Street Fighter 2010: The Final Fight	1990
Strider	1989
Stunt Kids	1992
Sunday Funday	1995
Super C	1990
Super Cars	1991
Super Dodge Ball	1988
Super Glove Ball	1990
Super Jeopardy!	1991
Super Mario Bros.	1985
Super Mario Bros./Duck Hunt	1988
Super Mario Bros./Duck Hunt/World Class Track Meet	1990
Super Mario Bros./Tetris/Nintendo World Cup	1988
Super Mario Bros. 2	1988
Super Mario Bros. 3	1990
Super Pitfall	1987
Super Spike V'Ball	1990
Super Spike V'Ball/World Cup Soccer	1990
Super Sprint	1989
Super Spy Hunter	1992
Super Team Games	1988
Super Turrican	1992
Superman	1988
Swamp Thing	1992
Sword Master	1992
Swords and Serpents	1990
Taboo: The Sixth Sense	1989
Tag Team Wrestling	1986
Taggin' Dragon	1990
Tale Spin	1991
Target: Renegade	1990
Tecmo Baseball	1989
Tecmo Bowl	1989
Tecmo Cup Soccer Game	1992
Tecmo NBA Basketball	1992
Tecmo Super Bowl	1991
Tecmo World Cup Soccer	1992
Tecmo World Wrestling	1990
Teenage Mutant Ninja Turtles	1989
Teenage Mutant Ninja Turtles II: The Arcade Game	1990
Teenage Mutant Ninja Turtles III: The Manhattan Project	1992
Teenage Mutant Ninja Turtles: Tournament Fighters	1994
Tennis	1985
The Terminator	1992
Terminator 2: Judgment Day	1992
Terra Cresta	1990
Tetris	1989
Tetris	1989
Tetris 2	1993
The Three Stooges	1989
Thunder &amp; Lightning	1990
Thunderbirds	1990
Thundercade	1989
Tiger-Heli	1987
Tiles of Fate	1990
Time Lord	1990
Times of Lore	1991
Tiny Toon Adventures	1991
Tiny Toon Adventures 2: Trouble in Wackyland	1993
Tiny Toon Adventures Cartoon Workshop	1992
To the Earth	1989
Toki	1991
Tom and Jerry	1991
Tombs &amp; Treasure	1991
Toobin'	1989
Top Gun	1987
Top Gun: The Second Mission	1990
Total Recall (video game)	1990
Totally Rad	1991
Touchdown Fever	1991
Town &amp; Country Surf Designs	1988
Town &amp; Country II: Thrilla's Surfari	1992
Toxic Crusaders	1992
Track &amp; Field	1987
Track &amp; Field II	1989
Treasure Master	1991
Trog	1991
Trojan	1987
The Trolls in Crazyland	1991
Trolls on Treasure Island	1992
Twin Cobra	1990
Twin Eagle	1989
Ufouria: The Saga	1991
Ultima: Exodus	1989
Ultima 4: Quest of the Avatar	1990
Ultima V: Warriors of Destiny	1993
Ultimate Air Combat	1992
Ultimate Basketball	1990
Ultimate League Soccer	1991
The Ultimate Stuntman	1990
The Uncanny X-Men	1988
Uncharted Waters	1991
Uninvited	1991
The Untouchables	1991
Urban Champion	1986
Vegas Dream	1990
Venice Beach Volleyball	1991
Vice: Project Doom	1991
Videomation	1991
Vindicators	1988
Volleyball	1987
Wacky Races	1992
Wall Street Kid	1990
Wally Bear and the NO! Gang	1992
Wario's Woods	1994
Wayne Gretzky Hockey	1991
Wayne's World	1993
Werewolf: The Last Warrior	1990
Wheel of Fortune	1988
Wheel of Fortune Family Edition	1990
Wheel of Fortune: Featuring Vanna White	1992
Wheel of Fortune Junior Edition	1989
Where in Time is Carmen Sandiego?	1991
Where's Waldo?	1991
Who Framed Roger Rabbit?	1989
Whomp 'Em	1991
Widget	1992
Wild Gunman	1985
Willow	1989
Win, Lose, or Draw	1990
Winter Games	1987
Wizardry: Proving Grounds of the Mad Overlord	1990
Wizardry II: The Knight of Diamonds	1992
Wizards &amp; Warriors	1987
Wizards and Warriors III	1992
Wolverine	1991
World Champ	1991
World Championship Wrestling	1990
World Class Track Meet	1988
World Games	1989
Wrath of the Black Manta	1990
Wrecking Crew	1985
Wurm: Journey To The Center Of The Earth	1991
WWF King of the Ring	1993
WWF WrestleMania	1988
WWF WrestleMania Challenge	1990
WWF WrestleMania: Steel Cage Challenge	1992
Xenophobe	1988
Xevious	1988
Xexyz	1990
Yo! Noid	1990
Yoshi	1992
Yoshi's Cookie	1993
Young Indiana Jones Chronicles	1992
Zanac	1987
Zelda II: The Adventure of Link	1988
Zen: Intergalactic Ninja	1993
Zoda's Revenge: StarTropics II	1994
Zombie Nation	1991
